epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,784.544,1.90087,1.25842,0.97146,0.92451,0.87082,0.89948,0.40994,1.82239,0.97585,0.97075,0.000772245,0.000772245,0.000772245
43,802.31,1.91124,1.24895,0.959,0.89855,0.85467,0.90499,0.4134,1.83627,0.99217,0.96561,0.00076669,0.00076669,0.00076669
44,819.441,1.95302,1.28483,0.97079,0.90156,0.84202,0.90677,0.42316,1.82888,0.97137,0.97113,0.000761135,0.000761135,0.000761135
45,837.341,1.92547,1.26936,0.96503,0.91376,0.87459,0.91661,0.44536,1.79425,0.93813,0.96121,0.00075558,0.00075558,0.00075558
46,856.499,1.89102,1.27638,0.96227,0.95063,0.8507,0.91949,0.43457,1.8217,0.93749,0.96123,0.000750025,0.000750025,0.000750025
47,874.377,1.89013,1.23412,0.97368,0.92956,0.84963,0.91166,0.42005,1.88381,0.94339,0.97234,0.00074447,0.00074447,0.00074447
48,892.184,1.89694,1.2671,0.96471,0.93092,0.85006,0.89924,0.42045,1.84536,0.95317,0.96382,0.000738915,0.000738915,0.000738915
49,909.419,1.88211,1.2137,0.95455,0.92771,0.85896,0.90767,0.43239,1.85272,0.95863,0.96854,0.00073336,0.00073336,0.00073336
50,928.241,1.82995,1.20276,0.95271,0.93398,0.85028,0.90739,0.43284,1.78866,0.92983,0.95352,0.000727805,0.000727805,0.000727805
51,941.725,1.86613,1.21947,0.95161,0.94949,0.8669,0.92915,0.433,1.8187,0.93287,0.95858,0.00072225,0.00072225,0.00072225
52,965.655,1.85375,1.17579,0.95039,0.95229,0.85628,0.92592,0.45403,1.7418,0.92036,0.95101,0.000716695,0.000716695,0.000716695
53,987.017,1.87307,1.24595,0.95008,0.9117,0.86588,0.91042,0.42816,1.81954,0.95378,0.9652,0.00071114,0.00071114,0.00071114
54,1004.59,1.8647,1.19553,0.96224,0.9335,0.85603,0.90998,0.41182,1.89641,0.93708,0.98096,0.000705585,0.000705585,0.000705585
55,1022.92,1.85286,1.18592,0.95309,0.94243,0.84859,0.91908,0.41899,1.84485,0.95158,0.96899,0.00070003,0.00070003,0.00070003
56,1040.6,1.82056,1.17856,0.95126,0.95269,0.86264,0.92679,0.43712,1.80807,0.90974,0.95718,0.000694475,0.000694475,0.000694475
57,1058.62,1.84744,1.19858,0.94525,0.9255,0.85912,0.91723,0.4437,1.77404,0.91388,0.95399,0.00068892,0.00068892,0.00068892
58,1071.52,1.81909,1.14289,0.96275,0.9193,0.87439,0.92662,0.44493,1.79569,0.90762,0.95351,0.000683365,0.000683365,0.000683365
59,1095.91,1.80621,1.13492,0.94524,0.92706,0.85952,0.91524,0.43702,1.81866,0.90195,0.95443,0.00067781,0.00067781,0.00067781
60,1113.54,1.83556,1.20925,0.95529,0.93937,0.88187,0.9289,0.44534,1.78504,0.88487,0.94797,0.000672255,0.000672255,0.000672255
61,1130.89,1.8037,1.15095,0.94948,0.92701,0.86768,0.91662,0.43983,1.79907,0.89105,0.95677,0.0006667,0.0006667,0.0006667
62,1149.04,1.80662,1.1217,0.95303,0.93088,0.86798,0.92224,0.4262,1.8331,0.92519,0.96018,0.000661145,0.000661145,0.000661145
63,1167.36,1.8815,1.21758,0.94123,0.93365,0.87131,0.92328,0.43928,1.78237,0.89988,0.95211,0.00065559,0.00065559,0.00065559
64,1185.01,1.77238,1.13412,0.94232,0.93314,0.87207,0.93778,0.44247,1.79702,0.88366,0.95377,0.000650035,0.000650035,0.000650035
65,1202.61,1.76557,1.10354,0.93648,0.91374,0.87075,0.92542,0.42999,1.84169,0.92829,0.96396,0.00064448,0.00064448,0.00064448
66,1220.86,1.85695,1.19346,0.94998,0.94792,0.85128,0.92388,0.43972,1.83022,0.90162,0.95918,0.000638925,0.000638925,0.000638925
67,1239.3,1.75937,1.09391,0.93623,0.92455,0.88052,0.92103,0.44933,1.76366,0.89201,0.9477,0.00063337,0.00063337,0.00063337
